Date,Country_JP,Country,Visitors,YoY_Change
2003/10,デンマーク,Denmark,1043,2.36
2003/10,ヨーロッパ計,Europe Total,60135,9.69
2003/10,フィンランド,Finland,966,17.8
2003/10,フランス,France,7882,8.66
2003/10,ドイツ,Germany,9189,15.54
2003/10,香港,Hong Kong,16266,-10.81
2003/10,インド,India,4173,11.31
2003/10,インドネシア,Indonesia,8256,122.0
2003/10,アイルランド,Ireland,1071,34.72
2003/10,イスラエル,Israel,1072,21.96
2003/10,イタリア,Italy,3834,21.95
2003/10,マレーシア,Malaysia,6825,7.77
2003/10,メキシコ,Mexico,1107,-4.9
2003/10,オランダ,Netherlands,2300,-5.15
2003/10,ニュージーランド,New Zealand,2173,-3.34
2003/10,北アメリカ計,North America Total,68569,2.18
2003/10,ノルウェー,Norway,638,8.5
2003/10,オセアニア計,Oceania Total,14490,4.3
2003/10,フィリピン,Philippines,11373,8.09
2003/10,ポーランド,Poland,538,2.28
2003/10,ポルトガル,Portugal,580,-14.83
2003/10,ロシア,Russia,4830,53.97
2003/10,シンガポール,Singapore,9642,1.01
2003/10,南アメリカ計,South America Total,2050,-2.47
2003/10,韓国,South Korea,112975,12.28
2003/10,スペイン,Spain,1302,-10.45
2003/10,無国籍・その他,Stateless/Other,83,-45.75
2003/10,スウェーデン,Sweden,2003,14.39
2003/10,スイス,Switzerland,1441,1.05
2003/10,台湾,Taiwan,71558,5.41
2003/10,タイ,Thailand,6527,23.2
2003/10,総数,Total,444435,9.86
2003/10,トルコ,Turkey,541,42.37
2003/10,英国,UK,16857,1.46
2003/10,米国,USA,56670,2.58
2003/10,ベトナム,Vietnam,1655,40.02
2003/11,アフリカ計,Africa Total,1009,-10.47
2003/11,アジア計,Asia Total,282617,7.88
2003/11,豪州,Australia,16395,6.21
2003/11,オーストリア,Austria,615,2.67
2003/11,ベルギー,Belgium,752,16.23
2003/11,ブラジル,Brazil,1039,2.47
2003/11,カナダ,Canada,11871,8.21
2003/11,中国,China,32746,19.95
2003/11,デンマーク,Denmark,707,3.82
2003/11,ヨーロッパ計,Europe Total,46798,5.29
2003/11,フィンランド,Finland,802,21.15
2003/11,フランス,France,6455,8.8
2003/11,ドイツ,Germany,5937,7.22
2003/11,香港,Hong Kong,26685,-5.65
2003/11,インド,India,3470,17.39
2003/11,インドネシア,Indonesia,7210,-18.76
2003/11,アイルランド,Ireland,703,-2.77
2003/11,イスラエル,Israel,721,2.27
2003/11,イタリア,Italy,3470,58.74
2003/11,マレーシア,Malaysia,7520,11.47
2003/11,メキシコ,Mexico,982,13.92
2003/11,オランダ,Netherlands,1800,9.96
2003/11,ニュージーランド,New Zealand,2527,-1.06
2003/11,北アメリカ計,North America Total,65628,-0.15
2003/11,ノルウェー,Norway,523,0.77
2003/11,オセアニア計,Oceania Total,19153,5.6
2003/11,フィリピン,Philippines,12029,4.97
2003/11,ポーランド,Poland,281,-33.73
2003/11,ポルトガル,Portugal,809,16.4
2003/11,ロシア,Russia,3221,5.47
2003/11,シンガポール,Singapore,13320,7.84
2003/11,南アメリカ計,South America Total,3122,45.07
2003/11,韓国,South Korea,106689,10.64
2003/11,スペイン,Spain,938,-14.88
2003/11,無国籍・その他,Stateless/Other,81,-33.61
2003/11,スウェーデン,Sweden,1628,8.97
2003/11,スイス,Switzerland,1273,4.95
2003/11,台湾,Taiwan,59848,5.09
2003/11,タイ,Thailand,6852,26.14
2003/11,総数,Total,418408,6.28
2003/11,トルコ,Turkey,406,-4.47
2003/11,英国,UK,14295,-3.67
2003/11,米国,USA,52449,-2.16
2003/11,ベトナム,Vietnam,1126,28.98
2004/01,アフリカ計,Africa Total,1289,3.95
2004/01,アジア計,Asia Total,292298,3.92
2004/01,豪州,Australia,10610,-3.26
2004/01,オーストリア,Austria,822,39.09
2004/01,ベルギー,Belgium,827,11.76
2004/01,ブラジル,Brazil,727,-0.55
2004/01,カナダ,Canada,8867,-4.66
2004/01,中国,China,37906,-9.45
2004/01,デンマーク,Denmark,843,26.39
2004/01,ヨーロッパ計,Europe Total,52016,16.27
2004/01,フィンランド,Finland,921,23.62
2004/01,フランス,France,6739,-0.13
2004/01,ドイツ,Germany,8534,28.23
2004/01,香港,Hong Kong,12000,-53.71
2004/01,インド,India,3715,24.08
2004/01,インドネシア,Indonesia,3185,5.25
2004/01,アイルランド,Ireland,794,6.43
2004/01,イスラエル,Israel,1020,63.72
2004/01,イタリア,Italy,2698,21.15
2004/01,マレーシア,Malaysia,3997,-11.67
2004/01,メキシコ,Mexico,864,53.74
2004/01,オランダ,Netherlands,1880,21.13
2004/01,ニュージーランド,New Zealand,1931,5.06
2004/01,北アメリカ計,North America Total,57529,8.91
2004/01,ノルウェー,Norway,636,24.46
2004/01,オセアニア計,Oceania Total,12725,-2.16
2004/01,フィリピン,Philippines,10962,25.6
2004/01,ポーランド,Poland,392,39.01
2004/01,ポルトガル,Portugal,498,-19.29
2004/01,ロシア,Russia,3746,34.75
2004/01,シンガポール,Singapore,4017,-11.17
2004/01,南アメリカ計,South America Total,1599,-6.27
2004/01,韓国,South Korea,142718,26.31
2004/01,スペイン,Spain,1114,24.61
2004/01,無国籍・その他,Stateless/Other,63,-34.38
2004/01,スウェーデン,Sweden,1514,24.4
2004/01,スイス,Switzerland,1408,19.22
2004/01,台湾,Taiwan,61701,-7.54
2004/01,タイ,Thailand,5327,25.28
2004/01,総数,Total,417519,5.74
2004/01,トルコ,Turkey,509,-10.39
2004/01,英国,UK,15900,11.13
2004/01,米国,USA,47464,11.5
2004/01,ベトナム,Vietnam,1331,17.79
2004/02,アフリカ計,Africa Total,1593,-29.33
2004/02,アジア計,Asia Total,323525,10.88
2004/02,豪州,Australia,13922,5.71
2004/02,オーストリア,Austria,1030,-3.92
2004/02,ベルギー,Belgium,1048,4.17
2004/02,ブラジル,Brazil,999,-13.28
2004/02,カナダ,Canada,12250,-3.16
2004/02,中国,China,55370,11.46
2004/02,デンマーク,Denmark,1000,-10.15
2004/02,ヨーロッパ計,Europe Total,61999,-4.91
2004/02,フィンランド,Finland,1114,18.38
2004/02,フランス,France,7979,-8.78
2004/02,ドイツ,Germany,10799,0.82
2004/02,香港,Hong Kong,16783,-8.97
2004/02,インド,India,4113,-4.15
2004/02,インドネシア,Indonesia,3472,-10.1
2004/02,アイルランド,Ireland,989,0.51
2004/02,イスラエル,Israel,874,3.43
2004/02,イタリア,Italy,3279,-7.32
2004/02,マレーシア,Malaysia,7652,19.25
2004/02,メキシコ,Mexico,1391,22.23
2004/02,オランダ,Netherlands,2398,-6.4
2004/02,ニュージーランド,New Zealand,2592,-5.57
2004/02,北アメリカ計,North America Total,82789,5.52
2004/02,ノルウェー,Norway,815,3.82
2004/02,オセアニア計,Oceania Total,16695,3.08
2004/02,フィリピン,Philippines,13160,8.93
2004/02,ポーランド,Poland,461,34.01
2004/02,ポルトガル,Portugal,553,5.94
2004/02,ロシア,Russia,4775,43.7
2004/02,シンガポール,Singapore,6999,4.74
2004/02,南アメリカ計,South America Total,2109,-18.38
2004/02,韓国,South Korea,112516,3.35
2004/02,スペイン,Spain,1379,0.8
2004/02,無国籍・その他,Stateless/Other,68,-54.67
2004/02,スウェーデン,Sweden,2063,4.4
2004/02,スイス,Switzerland,1610,-12.31
2004/02,台湾,Taiwan,82940,29.14
2004/02,タイ,Thailand,12581,40.26
2004/02,総数,Total,488778,7.04
2004/02,トルコ,Turkey,520,-29.25
2004/02,英国,UK,17374,-16.05
2004/02,米国,USA,68709,7.62
2004/02,ベトナム,Vietnam,1730,4.41
2004/03,アフリカ計,Africa Total,1423,23.31
2004/03,アジア計,Asia Total,372779,63.13
2004/03,豪州,Australia,17793,48.78
2004/03,オーストリア,Austria,1108,13.41
2004/03,ベルギー,Belgium,1103,26.64
2004/03,ブラジル,Brazil,1239,69.03
2004/03,カナダ,Canada,12154,47.27
2004/03,中国,China,56782,32.96
2004/03,デンマーク,Denmark,1053,16.23
2004/03,ヨーロッパ計,Europe Total,67972,29.41
2004/03,フィンランド,Finland,995,30.92
2004/03,フランス,France,9246,35.39
2004/03,ドイツ,Germany,9646,25.11
2004/03,香港,Hong Kong,31528,194.57
2004/03,インド,India,4237,46.91
2004/03,インドネシア,Indonesia,4198,6.66
2004/03,アイルランド,Ireland,990,22.22
2004/03,イスラエル,Israel,954,28.4
2004/03,イタリア,Italy,2962,23.26
2004/03,マレーシア,Malaysia,7728,62.93
2004/03,メキシコ,Mexico,1213,70.85
2004/03,オランダ,Netherlands,2522,35.37
2004/03,ニュージーランド,New Zealand,3444,23.0
2004/03,北アメリカ計,North America Total,80571,45.98
2004/03,ノルウェー,Norway,840,53.28
2004/03,オセアニア計,Oceania Total,21500,43.82
2004/03,フィリピン,Philippines,15503,27.12
2004/03,ポーランド,Poland,484,43.62
2004/03,ポルトガル,Portugal,620,73.67
2004/03,ロシア,Russia,4264,29.29
2004/03,シンガポール,Singapore,8096,148.42
2004/03,南アメリカ計,South America Total,2338,43.88
2004/03,韓国,South Korea,120427,37.67
